Time (s),Channel 1 (V)
0.00164,0.5013724684358395
0.0016425,0.5017116777199742
0.001645,0.5023900962882437
0.001647500000000001,0.5027293055723785
0.00165,0.5034077241406479
0.0016525,0.5037469334247827
0.001655,0.5040861427089175
0.0016575,0.5047645612771869
0.00166,0.5047645612771869
0.0016625,0.5057821891295913
0.001665,0.5064606076978607
0.001667500000000001,0.5067998169819955
0.00167,0.5074782355502649
0.0016725,0.5084958634026693
0.001675,0.5078174448343997
0.0016775,0.5091742819709387
0.00168,0.5084958634026693
0.0016825,0.5095134912550735
0.001685,0.5098527005392083
0.0016875,0.5108703283916125
0.001690000000000001,0.5115487469598821
0.0016925,0.5118879562440167
0.001695,0.5112095376757473
0.0016975,0.5122271655281515
0.0017,0.5132447933805557
0.0017025,0.5135840026646905
0.001705,0.5149408398012295
0.0017075,0.5152800490853643
0.001710000000000001,0.5152800490853643
0.0017125,0.5159584676536337
0.001715,0.5166368862219033
0.0017175,0.5169760955060381
0.00172,0.5169760955060381
0.0017225,0.5176545140743075
0.001725,0.5179937233584423
0.0017275,0.5179937233584423
0.00173,0.5193505604949813
0.001732500000000001,0.5193505604949813
0.001735,0.5207073976315203
0.0017375,0.5207073976315203
0.00174,0.5213858161997897
0.0017425,0.5217250254839245
0.001745,0.5220642347680593
0.0017475,0.5224034440521941
0.00175,0.5234210719045983
0.001752500000000001,0.5237602811887331
0.001755,0.5237602811887331
0.0017575,0.5251171183252721
0.00176,0.5254563276094069
0.0017625,0.5254563276094069
0.001765,0.5261347461776763
0.0017675,0.5261347461776763
0.00177,0.5268131647459458
0.0017725,0.5268131647459458
0.001775000000000001,0.5281700018824849
0.0017775,0.5288484204507543
0.00178,0.5285092111666195
0.0017825,0.5291876297348891
0.001785,0.5305444668714281
0.0017875,0.5312228854396975
0.00179,0.5308836761555629
0.0017925,0.5319013040079671
0.001795000000000001,0.5319013040079671
0.0017975,0.5325797225762365
0.0018,0.5332581411445061
0.0018025,0.5329189318603713
0.001805,0.5335973504286409
0.0018075,0.5342757689969103
0.00181,0.5346149782810451
0.0018125,0.5356326061334493
0.001815,0.5356326061334493
0.001817500000000001,0.5366502339858535
0.00182,0.5366502339858535
0.0018225,0.5373286525541231
0.001825,0.5373286525541231
0.0018275,0.5383462804065273
0.00183,0.5386854896906621
0.0018325,0.5390246989747969
0.001835,0.5393639082589315
0.001837500000000001,0.5400423268272011
0.00184,0.5410599546796053
0.0018425,0.5407207453954705
0.001845,0.5410599546796053
0.0018475,0.5420775825320097
0.00185,0.5430952103844139
0.0018525,0.5427560011002791
0.001855,0.5430952103844139
0.0018575,0.5437736289526833
0.001860000000000001,0.5444520475209529
0.0018625,0.5447912568050877
0.001865,0.5447912568050877
0.0018675,0.5454696753733571
0.00187,0.5464873032257613
0.0018725,0.5464873032257613
0.001875,0.5468265125098961
0.0018775,0.5478441403623003
0.001880000000000001,0.5481833496464351
0.0018825,0.5485225589305699
0.001885,0.5492009774988393
0.0018875,0.5492009774988393
0.00189,0.5498793960671089
0.0018925,0.5502186053512437
0.001895,0.5508970239195131
0.0018975,0.5515754424877827
0.0019,0.5522538610560521
0.001902500000000001,0.5525930703401869
0.001905,0.5532714889084563
0.0019075,0.5525930703401869
0.00191,0.5529322796243217
0.0019125,0.5539499074767259
0.001915,0.5539499074767259
0.0019175,0.5549675353291301
0.00192,0.5556459538973997
0.001922500000000001,0.5563243724656691
0.001925,0.5566635817498039
0.0019275,0.5570027910339387
0.00193,0.5570027910339387
0.0019325,0.5580204188863429
0.001935,0.5586988374546125
0.0019375,0.5590380467387471
0.00194,0.5586988374546125
0.0019425,0.5590380467387471
0.001945000000000001,0.5597164653070167
0.0019475,0.5600556745911515
0.00195,0.5607340931594209
0.0019525,0.5614125117276905
0.001955,0.5617517210118251
0.0019575,0.5620909302959599
0.00196,0.5624301395800947
0.0019625,0.5631085581483641
0.001965,0.5634477674324989
0.0019675,0.5637869767166337
0.00197,0.5644653952849031
0.0019725,0.5648046045690379
0.001975,0.5651438138531727
0.0019775,0.5654830231373075
0.00198,0.5654830231373075
0.0019825,0.5665006509897117
0.001985,0.5671790695579811
0.001987500000000001,0.5675182788421159
0.00199,0.5678574881262507
